Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
21,,,,,,,-65,,,,,,,,
7,-79,,,,,,,,,,,,,,
16,-94,,,,,-93,-83,-98,-84,-90,,,-88,,-89
4,,,,-95,,,,,,,,-87,,,
15,-89,,,-85,,,,,,,-92,-93,,,
19,,,,,,,-83,,,,,,,,-89
1,-87,,,-85,,,,,,,-80,-88,,,
13,-86,-97,,-78,,,,,,,-77,-85,,,
6,,,,,,,-66,,,,,,,,
14,,,,,,,-79,,,,,,,,
2,,,,-70,,,,,,,,,,,
9,-91,,,,-92,,-95,-90,-67,-96,,,-89,,
20,-82,,-84,,,,,,,,,,,,
2,,,,-74,,,,,,,,,,,
21,,,,,,,,,,,,,,,-83
18,-88,,,,,-85,,,,,,,-78,-83,
16,-85,,,,,-92,-74,-98,-81,-89,,,-90,,-92
7,-86,,,,,,,,,,,,,,
23,-81,,,,-95,,,-94,-73,-81,,,-69,,
4,,,,-83,,,,,,,,-92,,,
20,-82,,-84,,,,,,,,,,,,
18,-88,,,,,-85,,,,,,,-78,-83,
10,-73,,,,,-92,-81,,-85,-92,,,-89,-96,
19,,,,,,,-82,,,,,,,,-85
6,,,,,,,-60,,,,,,,,-81
11,,,,,,,-92,-81,-90,-89,,,-71,,
23,-88,,,,-90,,-91,-92,-76,-79,,,-71,,
8,,,,,-77,,,-73,-70,,,,-71,,
9,-79,,,,-89,,,,-66,-90,,,-80,,
21,,,,,,,-69,,,,,,,,
16,-86,,,,,-94,-73,-98,-81,-92,,,-94,,-92
2,,,,-71,,,,,,,,,,,
7,-75,,,,,,,,,,,,,,
4,,,,-89,,,,,,,,-94,,,
1,-88,,,-84,,,,,,,-70,-89,,,
13,-83,,,-76,,,,,,,-72,-83,,,
14,,,,,,,-74,,,,,,,,
6,-86,,,,,,-65,,,,,,,,-82
15,-89,,,-87,,,,,,,-87,-85,,,
19,,,,,,,-87,,,,,,,,-77
20,,,-80,,,,,,,,,,,,
18,-88,,,,,-90,-75,,,,,,,-82,
20,,,-80,,,,,,,,,,,,
23,-89,,,,-93,,-93,-92,-77,-80,,,-70,,
9,-81,,,,-84,,,-87,-64,-94,,,-90,,
18,-88,,,,,-90,-75,,,,,,,-82,
21,,,,,,,,,,,,,,,
10,-84,,,,,-87,-79,-95,-79,-89,,,-84,-94,-89
2,,,,-72,,,,,,,,,,,
7,-77,,,,,,,,,,,,,,
4,,,,-88,,,,,,,-90,-93,,,
11,,,,,,,,-81,-89,-87,,,-75,,
6,,,,,,,-57,,,,,,,,
19,,,,,,,-81,,,,,,,,-77
23,-83,,,,-88,,,-96,-74,-77,,,-68,,
1,-85,,,-84,,,,,,,-83,-89,,,
21,,,,,,,-72,,,,,,,,
13,-84,-96,,-77,,,,,,,-72,-77,,,
9,-85,,,,,,,-99,-65,-81,,,-84,,
16,-85,,,,,-94,-72,-98,-79,-90,,,-91,,-92
14,,,,,,,-80,,,,,,,,
8,,,,,-74,,,-72,-83,,,,-74,,
2,,,,-71,,,,,,,,,,,
7,-78,,,,,,,,,,,,,,
16,-85,,,,,-92,-80,-98,-78,-93,,,-91,,-92
4,,,,-88,,,,,,,,,,,
20,,,-81,,,,,,,,,,,,
6,-91,,,,,,-66,,,,,,,,
20,,,-81,,,,,,,,,,,,
18,,,,,,,-83,,,,,,-92,-88,
18,,,,,,,-83,,,,,,-92,-88,
10,-75,,,,-93,-89,-85,-91,-82,-87,,,-79,,
21,-88,,,,,,-70,,,,,,,,
19,,,,,,,-90,,,,,,,,-93
15,-89,,,-88,,,,,,,-81,-89,,,
23,-80,,,,-85,,-89,,-73,-81,,,-70,,
9,,,,,-84,,,,-62,-83,,,-96,,
11,-92,,,,,,-90,-82,-90,-90,,,-87,,
2,,,,-72,,,,,,,,,,,
16,-83,,,,,-90,-73,-98,-92,-87,,,-91,,-92
7,-81,,,,,,,,,,,,,,
6,,,,,,,-62,,-97,,,,,,-80
4,,,,-92,,,,,,,-90,-86,,,
1,-89,,,-84,,,,,,,-70,-87,,,
13,-89,,,-75,,,,,,,-77,-77,,,
14,,,,,,,-79,,,,,,,,
23,-82,,,,-91,,-92,-95,-80,-81,,,-68,,
20,,,-80,,,,,,,,,,,,
19,,,,,,,-87,,,,,,,,-74
16,-83,,,,,-90,-77,-98,-81,-94,,,-92,,-90
9,-93,,,,-80,,,-80,-54,-90,,,-93,,
20,,,-80,,,,,,,,,,,,
2,,,,-80,,,,,,,,,,,
8,,,,,-74,,,-70,-81,,,,-71,,
18,-90,,,,,-91,-84,,,,,,-77,-82,-90
6,-90,,,,,,-61,,,,,,-87,,
7,-86,,,,,,,,,,,,,,
21,,,,,,,-73,,,,,,,,-86
4,,,,-88,,,,,,,-95,-93,,,
18,-90,,,,,-91,-84,,,,,,-77,-82,-90
10,-76,,,,,-93,-78,-95,-79,-91,,,-82,,
11,-96,,,,,,-92,-81,,,,,-73,,
21,,,,,,,-72,,,,,,,,
23,-88,,,,-87,,-94,,-91,-78,,,-69,,
19,,,,,,,-84,,,,,,,,-83
9,-92,,,,,,,-90,-92,-87,,,-92,,
16,-82,,,,,-93,-80,-98,-82,-92,,,-92,,-90
2,,,,-75,,,,,,,,,,,
6,,,,,,,-64,,-94,,,,,,-88
1,,,,-85,,,,,,,-71,-88,,,
15,-89,,,-93,,,,,,,-83,-89,,,
7,-78,,,,,,,,,,,,,,
13,-86,,,-75,,,,,,,-72,-83,,,
4,,,,-85,,,,,,,-93,-89,,,
14,,,,,,,-74,,,,,,,,
20,,,-81,,,,,,,,,,,,
21,,,,,,,-70,,,,,,,,-86
20,,,-81,,,,,,,,,,,,
5,-84,,,,,,,,-87,,,,,,
18,-87,,,,,,-90,,,,,,-73,-75,
23,-88,,,,-84,,-91,-92,-83,-80,,,-73,,
10,-82,,,,-96,-92,-80,-94,-77,-90,,,-88,,
9,-76,,,,-89,,,-81,-47,-89,,,-87,,
6,,,,,,,-64,,-92,,,,,,
19,,,,,,,-83,,,,,,,-95,-90
2,,,,-73,,,,,,,,,,,
18,-87,,,,,,-90,,,,,,-73,-75,
16,-77,,,,,-94,-87,-98,-93,-86,,,-93,,-90
7,-83,,,,,,,,,,,,,,
11,,,,,,,-92,-85,,-92,,,-74,,
8,,,,,-75,,,-70,-71,,,,-71,,
4,,,,-85,,,,,,,-94,-84,,,
3,,,,-72,,,,,,,,,,,
21,,,,,,,,,,,,,,,-83
1,-93,,,-82,,,,,,,-71,-89,,,
13,-84,,,-78,,,,,-95,,-72,-77,,,
6,,,,,,,-65,,,,,,,-89,
16,-77,,,,,-89,-74,-98,-92,-86,,,-93,,-90
23,-84,,,,-91,,-97,-92,-80,-81,,,-70,,
14,,,,,,,-89,,,,,,,,
9,-91,,,,-91,,,-83,-70,-92,,,-87,,
