Group,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
21,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
18,-88,-200,-200,-200,-200,-90,-75,-200,-200,-200
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
23,-89,-200,-200,-200,-93,-200,-93,-92,-77,-80
9,-81,-200,-200,-200,-84,-200,-200,-87,-64,-94
18,-88,-200,-200,-200,-200,-90,-75,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-84,-200,-200,-200,-200,-87,-79,-95,-79,-89
2,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
7,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-81,-89,-87
6,-200,-200,-200,-200,-200,-200,-57,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200
23,-83,-200,-200,-200,-88,-200,-200,-96,-74,-77
1,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200
13,-84,-96,-200,-77,-200,-200,-200,-200,-200,-200
9,-85,-200,-200,-200,-200,-200,-200,-99,-65,-81
16,-85,-200,-200,-200,-200,-94,-72,-98,-79,-90
14,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
8,-200,-200,-200,-200,-74,-200,-200,-72,-83,-200
2,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200
7,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-85,-200,-200,-200,-200,-92,-80,-98,-78,-93
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
6,-91,-200,-200,-200,-200,-200,-66,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
10,-75,-200,-200,-200,-93,-89,-85,-91,-82,-87
21,-88,-200,-200,-200,-200,-200,-70,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
15,-89,-200,-200,-88,-200,-200,-200,-200,-200,-200
23,-80,-200,-200,-200,-85,-200,-89,-200,-73,-81
9,-200,-200,-200,-200,-84,-200,-200,-200,-62,-83
11,-92,-200,-200,-200,-200,-200,-90,-82,-90,-90
2,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
16,-83,-200,-200,-200,-200,-90,-73,-98,-92,-87
7,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-62,-200,-97,-200
4,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1,-89,-200,-200,-84,-200,-200,-200,-200,-200,-200
13,-89,-200,-200,-75,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
23,-82,-200,-200,-200,-91,-200,-92,-95,-80,-81
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
16,-83,-200,-200,-200,-200,-90,-77,-98,-81,-94
9,-93,-200,-200,-200,-80,-200,-200,-80,-54,-90
20,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-74,-200,-200,-70,-81,-200
18,-90,-200,-200,-200,-200,-91,-84,-200,-200,-200
6,-90,-200,-200,-200,-200,-200,-61,-200,-200,-200
7,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
18,-90,-200,-200,-200,-200,-91,-84,-200,-200,-200
10,-76,-200,-200,-200,-200,-93,-78,-95,-79,-91
11,-96,-200,-200,-200,-200,-200,-92,-81,-200,-200
21,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200
23,-88,-200,-200,-200,-87,-200,-94,-200,-91,-78
19,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
9,-92,-200,-200,-200,-200,-200,-200,-90,-92,-87
16,-82,-200,-200,-200,-200,-93,-80,-98,-82,-92
2,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-64,-200,-94,-200
1,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
15,-89,-200,-200,-93,-200,-200,-200,-200,-200,-200
7,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,-86,-200,-200,-75,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
5,-84,-200,-200,-200,-200,-200,-200,-200,-87,-200
18,-87,-200,-200,-200,-200,-200,-90,-200,-200,-200
23,-88,-200,-200,-200,-84,-200,-91,-92,-83,-80
10,-82,-200,-200,-200,-96,-92,-80,-94,-77,-90
9,-76,-200,-200,-200,-89,-200,-200,-81,-47,-89
6,-200,-200,-200,-200,-200,-200,-64,-200,-92,-200
19,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200
2,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
18,-87,-200,-200,-200,-200,-200,-90,-200,-200,-200
16,-77,-200,-200,-200,-200,-94,-87,-98,-93,-86
7,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-92,-85,-200,-92
8,-200,-200,-200,-200,-75,-200,-200,-70,-71,-200
4,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1,-93,-200,-200,-82,-200,-200,-200,-200,-200,-200
13,-84,-200,-200,-78,-200,-200,-200,-200,-95,-200
6,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200
16,-77,-200,-200,-200,-200,-89,-74,-98,-92,-86
23,-84,-200,-200,-200,-91,-200,-97,-92,-80,-81
14,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200
9,-91,-200,-200,-200,-91,-200,-200,-83,-70,-92
19,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
2,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
7,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
15,-84,-200,-200,-85,-200,-200,-200,-200,-200,-200
5,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-86,-200,-92,-200
10,-77,-200,-200,-200,-92,-91,-81,-91,-90,-82
18,-200,-200,-200,-200,-200,-200,-86,-200,-92,-200
21,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200
6,-87,-200,-200,-200,-200,-200,-69,-200,-200,-200
16,-85,-200,-200,-200,-200,-89,-74,-98,-90,-86
23,-83,-200,-200,-200,-87,-200,-93,-200,-77,-79
11,-200,-200,-200,-200,-200,-200,-92,-82,-86,-200
9,-79,-200,-200,-200,-85,-200,-92,-95,-69,-83
2,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200
7,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1,-91,-200,-200,-79,-200,-200,-200,-200,-200,-200
8,-200,-200,-200,-200,-84,-200,-200,-70,-79,-200
3,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
13,-82,-200,-200,-84,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200
20,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200
16,-84,-200,-200,-200,-200,-89,-73,-98,-79,-91
20,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
23,-82,-200,-200,-200,-86,-200,-200,-91,-87,-79
9,-86,-200,-200,-200,-85,-200,-200,-91,-71,-85
2,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
5,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-81,-200,-200,-200,-200,-200,-91,-200,-74,-84
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
7,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
18,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,-92,-200,-200,-200,-200,-200,-200,-84,-200,-91
6,-93,-200,-200,-200,-200,-200,-64,-200,-200,-200
15,-90,-200,-200,-79,-200,-200,-200,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200
16,-80,-200,-200,-200,-200,-90,-83,-98,-78,-88
1,-91,-200,-200,-83,-200,-200,-200,-200,-200,-200
23,-77,-200,-200,-200,-90,-200,-91,-94,-84,-80
9,-81,-200,-200,-200,-90,-200,-95,-86,-70,-79
13,-84,-92,-200,-77,-200,-200,-200,-200,-200,-200
14,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
3,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200
7,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200
8,-200,-200,-200,-200,-78,-200,-200,-70,-72,-200
6,-200,-200,-200,-200,-200,-200,-71,-200,-93,-200
20,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
21,-88,-200,-200,-200,-200,-200,-64,-200,-200,-200
5,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,-86,-200,-200,-200,-200,-88,-79,-98,-77,-92
10,-80,-200,-200,-200,-92,-200,-79,-93,-74,-84
18,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
23,-83,-200,-200,-200,-88,-200,-90,-98,-80,-79
9,-86,-200,-200,-200,-88,-200,-200,-89,-57,-86
18,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
2,-91,-200,-200,-71,-200,-200,-200,-200,-200,-200
3,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-90,-81,-89,-200
7,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
19,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200
1,-94,-200,-200,-84,-200,-200,-200,-200,-200,-200
16,-83,-200,-200,-200,-200,-88,-74,-98,-81,-90
14,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200
13,-85,-97,-200,-87,-200,-200,-200,-200,-91,-200
15,-85,-200,-200,-80,-200,-200,-200,-200,-200,-200
23,-87,-200,-200,-200,-91,-200,-92,-200,-75,-82
20,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200
9,-85,-200,-200,-200,-86,-200,-200,-86,-56,-90
3,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
2,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200
20,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200
7,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
4,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
6,-200,-200,-200,-200,-200,-200,-57,-200,-200,-200
5,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,-73,-200,-200,-200,-93,-88,-81,-200,-74,-200
19,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200
18,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200
8,-200,-200,-200,-200,-76,-200,-200,-71,-79,-200
18,-88,-200,-200,-200,-200,-200,-84,-200,-200,-200
21,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200
11,-200,-200,-200,-200,-200,-200,-200,-83,-91,-95
3,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200
23,-80,-200,-200,-200,-90,-200,-90,-91,-89,-79
9,-81,-200,-200,-200,-81,-200,-92,-86,-56,-85
2,-200,-200,-200,-64,-200,-200,-200,-200,-200,-200
1,-89,-200,-200,-83,-200,-200,-200,-200,-200,-200
6,-94,-200,-200,-200,-200,-200,-54,-200,-200,-200
