B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,Group
-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,21
-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-72,-77,-200,-200,-200,13
-87,-200,-200,-200,-85,-200,-200,-90,-72,-81,-200,-200,-72,-200,-200,23
-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-82,19
-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,14
-90,-200,-200,-200,-91,-200,-200,-94,-60,-86,-200,-200,-88,-200,-200,9
-89,-200,-200,-85,-200,-200,-200,-200,-200,-200,-73,-86,-200,-200,-200,1
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-86,-200,-200,-200,-200,-93,-75,-98,-83,-88,-200,-200,-93,-200,-93,16
-200,-200,-200,-200,-200,-200,-85,-94,-200,-92,-200,-200,-78,-77,-200,18
-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-81,-93,-200,-200,-200,4
-200,-200,-200,-200,-200,-200,-85,-94,-200,-92,-200,-200,-78,-77,-200,18
-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-93,-200,-200,6
-200,-200,-200,-200,-80,-200,-200,-72,-69,-200,-200,-200,-71,-200,-200,8
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-90,-200,-200,-83,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,15
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-74,-200,-200,-200,-94,-200,-70,-88,-74,-80,-200,-200,-87,-200,-200,10
-84,-200,-200,-200,-200,-200,-94,-93,-79,-82,-200,-200,-73,-200,-200,23
-92,-200,-200,-200,-200,-200,-92,-83,-92,-89,-200,-200,-85,-200,-200,11
-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-82,19
-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-94,-200,-200,-200,-200,-91,-73,-98,-77,-94,-200,-200,-93,-200,-93,16
-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-80,-87,-200,-200,-200,4
-93,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,6
-88,-200,-200,-88,-200,-200,-200,-200,-93,-200,-80,-90,-200,-200,-200,13
-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,21
-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,14
-86,-200,-200,-84,-200,-200,-200,-200,-200,-200,-79,-91,-200,-200,-200,1
-95,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-81,-83,-85,18
-79,-200,-200,-200,-93,-200,-200,-94,-78,-81,-200,-200,-71,-200,-200,23
-95,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-81,-83,-85,18
-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-82,-200,-200,-200,-200,-91,-75,-98,-82,-95,-200,-200,-93,-200,-93,16
-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-87,19
-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2
-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,7
-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,6
